127.0.0.1 - - [12/Jan/2024:19:29:01 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2024:19:29:02 +0900] "GET /nawa/main.jsp HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [12/Jan/2024:19:29:04 +0900] "GET /nawa/test.do HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:50 +0900] "GET /nawa/index.jsp HTTP/1.1" 200 105944
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 98255
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/vendor/font-awesome/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/vendor/choices/css/choices.min.css HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/css/style.css HTTP/1.1" 200 543775
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/5%EC%A1%B0_%EC%A0%9C%EB%AA%A9_%EB%A1%9C%EA%B3%A0-removebg-preview.png HTTP/1.1" 200 154873
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/logo-light.svg HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/avatar/01.jpg HTTP/1.1" 200 3900
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/client/angular.svg HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/client/science.svg HTTP/1.1" 200 3417
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/client/figma.svg HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/avatar/02.jpg HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/avatar/03.jpg HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/avatar/04.jpg HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/element/07.png HTTP/1.1" 200 167750
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/08.jpg HTTP/1.1" 200 5118
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/03.jpg HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/02.jpg HTTP/1.1" 200 7068
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/07.jpg HTTP/1.1" 200 6026
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/11.jpg HTTP/1.1" 200 4794
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/12.jpg HTTP/1.1" 200 6193
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/04.jpg HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [12/Jan/2024:20:26:51 +0900] "GET /nawa/assets/images/courses/4by3/09.jpg HTTP/1.1" 200 4775
