127.0.0.1 - - [13/Feb/2024:09:17:49 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 8153
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/css/LineIcons.2.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/count-up.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:17:50 +0900] "GET /JSPBookProject/resources/assets/fonts/LineIcons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:19:39 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:20:24 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:02 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 8191
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:02 +0900] "GET /JSPBookProject/resources/assets/css/bootstrap.min.css HTTP/1.1" 200 205325
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:02 +0900] "GET /JSPBookProject/resources/assets/css/animate.css HTTP/1.1" 200 70592
